City,Country,date,Lat,Lon,MaxTemp,WindSpeed,Clouds,Humidity
bathsheba,BB,1600823207,13.22,-59.52,82.4,8.05,20,78
rauma,FI,1600823208,61.13,21.51,50.0,9.17,75,93
shikarpur,PK,1600823208,27.96,68.64,80.6,2.21,0,83
salamiyah,SY,1600823209,35.01,37.05,64.72,5.44,0,91
rock sound,BS,1600823209,24.9,-76.2,81.23,18.86,0,68
awjilah,LY,1600823210,29.11,21.29,70.79,8.5,0,53
coahuayana,MX,1600823210,18.73,-103.68,73.4,3.13,90,78
bakchar,RU,1600823211,57.02,82.07,41.16,4.63,100,93
mlalo,TZ,1600823211,-4.93,38.93,72.1,5.66,65,90
arenys de mar,ES,1600823212,41.58,2.55,69.01,1.01,78,75
krasnogorskiy,RU,1600823212,54.6,61.23,50.97,17.25,100,80
poum,NC,1600823212,-20.23,164.02,72.3,4.83,0,70
moerai,PF,1600823213,-22.43,-151.33,75.51,11.41,100,89
oriximina,BR,1600823213,-1.77,-55.87,85.17,4.72,72,58
talcahuano,CL,1600823214,-36.72,-73.12,53.6,11.41,100,76
honiara,SB,1600823215,-9.43,159.95,86.0,9.17,20,70
hecun,CN,1600823215,36.53,114.11,63.95,2.84,100,82
olinda,BR,1600822925,-8.01,-34.86,78.8,10.29,75,74
zlobin,HR,1600823216,45.29,14.65,64.99,6.93,75,100
cacador,BR,1600823113,-26.78,-51.02,50.59,5.79,1,87
vila franca do campo,PT,1600823217,37.72,-25.43,66.2,8.05,20,77
challapata,BO,1600823217,-18.9,-66.77,46.51,2.51,0,45
batagay-alyta,RU,1600823217,67.8,130.41,45.37,1.54,0,56
jiangyou,CN,1600823218,31.77,104.72,66.13,2.57,90,80
tecoanapa,MX,1600823219,16.52,-98.75,81.79,6.82,8,80
charlestown,AU,1600823161,-32.95,151.67,72.0,26.4,0,28
tezu,IN,1600823219,27.92,96.17,73.87,3.89,100,87
utiel,ES,1600823220,39.57,-1.2,57.99,2.84,100,74
twentynine palms,US,1600823220,34.14,-116.05,96.8,16.53,1,11
tual,ID,1600823221,-5.67,132.75,80.62,19.19,100,80
pauini,BR,1600823221,-7.71,-66.98,77.52,1.63,0,77
angra dos reis,BR,1600823221,-23.01,-44.32,66.2,5.82,90,88
mount gambier,AU,1600823222,-37.83,140.77,51.8,16.11,90,76
limon,CR,1600823222,10.0,-83.03,82.24,0.81,100,69
caravelas,BR,1600823223,-17.71,-39.25,73.72,6.22,58,87
okhotsk,RU,1600823223,59.38,143.3,52.21,4.7,63,75
broken hill,AU,1600823224,-31.95,141.43,57.2,20.8,0,47
katherine,AU,1600823224,-14.47,132.27,91.4,8.05,0,43
ixtapa,MX,1600823224,20.7,-105.2,82.99,3.36,75,88
dubai,AE,1600823225,25.26,55.3,82.4,4.7,0,74
thai binh,VN,1600823225,20.45,106.33,80.6,3.36,75,94
rakitnoye,RU,1600823226,50.84,35.85,55.4,6.71,62,54
yabrud,SY,1600823226,33.97,36.66,66.2,9.17,0,77
coihaique,CL,1600823226,-45.58,-72.07,44.6,7.31,20,82
kanniyakumari,IN,1600823227,8.08,77.57,78.98,15.12,43,83
andapa,MG,1600823227,-14.65,49.65,57.92,3.13,6,87
souillac,MU,1600823228,-20.52,57.52,68.0,7.67,20,88
trofors,NO,1600823228,65.53,13.41,51.8,8.05,100,81
havre-saint-pierre,CA,1600823228,50.23,-63.6,44.6,5.82,90,87
richards bay,ZA,1600823229,-28.78,32.04,59.86,9.98,0,76
pinawa,CA,1600823229,50.15,-95.88,65.71,5.77,72,54
jumla,NP,1600823229,29.27,82.18,60.49,2.15,89,66
marovoay,MG,1600823230,-16.1,46.63,77.0,9.17,20,61
songkhla,TH,1600823230,6.83,100.67,75.2,2.24,20,100
kavieng,PG,1600823230,-2.57,150.8,85.71,8.21,97,62
kangaatsiaq,GL,1600823231,68.31,-53.46,32.43,3.6,99,91
san clemente,US,1600823231,33.43,-117.61,75.99,3.0,0,83
mwinilunga,ZM,1600823232,-11.74,24.43,62.65,5.97,0,36
pinsk,BY,1600823232,52.12,26.1,54.03,5.79,0,83
mahebourg,MU,1600823232,-20.41,57.7,68.0,9.22,20,88
nixa,US,1600823233,37.04,-93.29,66.99,7.78,100,91
sitka,US,1600823043,57.05,-135.33,57.2,20.8,90,58
saskylakh,RU,1600823233,71.92,114.08,46.72,18.48,11,64
krasnoarmeysk,RU,1600823234,51.02,45.7,59.0,5.99,91,46
ponta delgada,PT,1600823227,37.73,-25.67,66.2,8.05,20,77
miri,MY,1600823235,4.41,114.01,78.8,2.24,40,88
marzuq,YE,1600823235,14.4,46.47,77.56,3.67,100,32
vila velha,BR,1600823236,-20.33,-40.29,80.01,6.93,75,94
blois,FR,1600823236,47.58,1.33,60.01,3.36,75,100
navirai,BR,1600823237,-23.07,-54.19,65.79,4.7,0,80
buraydah,SA,1600823237,26.33,43.98,78.8,3.36,0,31
walvis bay,NA,1600823239,-22.96,14.51,55.0,3.36,0,93
baiyin,CN,1600823239,36.56,104.21,44.6,4.47,17,100
grindavik,IS,1600823240,63.84,-22.43,37.4,8.05,75,86
yulara,AU,1600823240,-25.24,130.99,66.2,16.11,0,32
oistins,BB,1600823241,13.07,-59.53,82.4,8.05,20,78
north bend,US,1600823242,43.41,-124.22,66.0,10.29,1,72
margate,GB,1600823035,51.38,1.39,64.0,4.0,0,67
minas,UY,1600823242,-34.38,-55.24,53.6,11.41,98,76
maralal,KE,1600823243,1.1,36.7,58.64,6.29,52,74
ribas do rio pardo,BR,1600823243,-20.44,-53.76,71.71,9.42,0,68
zaria,NG,1600823244,11.11,7.72,72.07,6.53,0,82
upernavik,GL,1600823245,72.79,-56.15,25.84,5.46,100,86
san cristobal,VE,1600823078,7.77,-72.22,68.2,2.21,100,82
jonkoping,SE,1600823246,57.78,14.16,39.2,8.1,0,100
